ID Centro,Entidad,CIF,Código Centro,Email,Teléfono,Dirección,Municipio,Provincia,Código Postal,Web,Número de Cursos,Es CIFO,Para Discapacitados,Especialidades,Cursos
30559,"ACADEMIA CENTRAL CATALANA, S.A",A08780793,0800864011,ACCSA@INFONEGOCIO.COM,932740943,Carrer VIA BARCINO,BARCELONA,BARCELONA,08033,0,0,N,N,SSCB0209 - SSCB0209 - Dinamització d'activitats de lleure educatiu infantil i juvenil,
30558,"ACADEMIA CENTRAL CATALANA, S.A",A08780793,0800864010,ACCSA@INFONEGOCIO.COM,933525658,Carrer ESCÒCIA,BARCELONA,BARCELONA,08016,0,0,N,N,"SSCB0001 - SSCB0001 - Animació sociocultural;
SSCB0002 - SSCB0002 - Dinamització pedagògica;
SSCB007PO - SSCB007PO - ACOLLIDA EXTRAESCOLAR ILUDOTEQUES;
SSCB013PO - SSCB013PO - OCI INCLUSIU;
SSCB0209 - SSCB0209 - Dinamització d'activitats de lleure educatiu infantil i juvenil;
SSCB0211 - SSCB0211 - Direcció i coordinació d'activitats d'educació en el lleure infantil i juvenil",
95452,ACONDICIONAMIENTO TARRASENSE,G08360232,0804391001,PROGRAMAS@LEITAT.ORG,938268822,Carrer NUMERO TRES,BARCELONA,BARCELONA,08040,www.leitat.org,0,N,N,"FCOO03 - FCOO03 - Inserció laboral, sensibilització mediambiental i en la igualtat de gènere;
FMEM13 - FMEM13 - Disseny de peces mecàniques i impressió de prototips en 3D;
IFCT060PO - IFCT060PO - Introducció a la tecnologia d'impressió 3D;
IFCT87 - IFCT87 - Introducció a la programació i impressió 3D;
IFCT93 - IFCT93 - Disseny Tridimensional Paramètric per a impressió 3D;
IFCT98 - IFCT98 - Fabricació additiva d'impressió 3D;
QUIT01 - QUIT01 - Impressió 3D en la indústria",
66488,"ACTIVIDADES FORMATIVAS EMPRESARIALES, SLU",B61420824,0804133100,pmontserrat@foment.com,934094040,Carrer CAN BRUIXA,BARCELONA,BARCELONA,08028,www.fomentformacio.com,0,N,N,IFCD0210 - IFCD0210 - Desenvolupament d'aplicacions amb tecnologia web,
66480,"ACTIVIDADES FORMATIVAS EMPRESARIALES, SLU",B61420824,0804133028,pmontserrat@foment.com,934841232,Avinguda Francesc Cambó,BARCELONA,BARCELONA,08003,www.fomentformacio.com,0,N,N,"ADGD0108 - ADGD0108 - Gestió comptable i gestió administrativa per a auditoria;
ADGD0208 - ADGD0208 - Gestió integrada de recursos humans;
ADGD0210 - ADGD0210 - Creació i gestió de microempreses;
ADGD0308 - ADGD0308 - Activitats de gestió administrativa;
ADGG0108 - ADGG0108 - Assistència a la direcció;
ADGG0208 - ADGG0208 - Activitats administratives en la relació amb el client;
ADGG0308 - ADGG0308 - Assistència documental i de gestió en despatxos i oficines;
ADGG0408 - ADGG0408 - Operacions auxiliars de serveis administratius i generals;
ADGN0108 - ADGN0108 - Finançament d'empreses;
ARGN0110 - ARGN0110 - Desenvolupament de productes editorials multimèdia;
COML0309 - COML0309 - Organització i gestió de magatzems;
COMM0110 - COMM0110 - Màrqueting i compravenda internacional;
COMM0112 - COMM0112 - Gestió de màrketing i comunicació;
COMT0411 - COMT0411 - Gestió comercial de vendes;
IFCD0110 - IFCD0110 - Confecció i publicació de pàgines web;
IFCD0210 - IFCD0210 - Desenvolupament d'aplicacions amb tecnologia web;
IFCM0110 - IFCM0110 - Operació en sistemes de comunicacions de veu i dades;
IFCT0109 - IFCT0109 - Seguretat dels sistemes d'informació;
SEAG0211 - SEAG0211 - Gestió ambiental;
SSCE0110 - SSCE0110 - Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional;
ADGG020PO - ADGG020PO - EXCEL AVANÇAT;
ADGG021PO - ADGG021PO - FONAMENTS EXCEL;
ARGG0005 - ARGG0005 - Visual Design amb Adobe Photoshop;
ARGG013PO - ARGG013PO - PHOTOSHOP AVANÇAT;
FCOI11 - FCOI11 - Cerca i gestió de la informació digital - Nivell intermedi;
FCOI13 - FCOI13 - Iniciació a la informàtica i en competències digitals bàsiques;
FCOI17 - FCOI17 - Creació de continguts digitals i programació. Nivell avançat;
FCOI28 - FCOI28 - Aplicació del full de càlcul Excel. Nivell avançat;
FCOO03 - FCOO03 - Inserció laboral, sensibilització mediambiental i en la igualtat de gènere;
FCOO08 - FCOO08 - Creació i gestió de la Marca Personal i Xarxes Socials a la Recerca d'Ocupació;
FCOS02 - FCOS02 - Bàsic de prevenció de riscos laborals;
FCOV05 - FCOV05 - Comunicació en llengües estrangeres (Anglès) N2;
FCOV06 - FCOV06 - Comunicació en llengües estrangeres (Anglès);
FCOV07 - FCOV07 - Comunicació en llengües estrangeres (francès) N2;
FCOV08 - FCOV08 - Comunicació en llengües estrangeres (Francés)N3;
FCOV09 - FCOV09 - Comunicació en llengües estrangeres (alemany) N2;
FCOV10 - FCOV10 - Comunicació en llengües estrangeres (Alemany) N3;
IFCD61 - IFCD61 - Android Mobile Developer;
IFCD62 - IFCD62 - Java Back End Web Developer;
IFCD63 - IFCD63 - Open Source Back End Web Developer;
IFCD64 - IFCD64 - Gestió de projectes d'implementació de CRM;
IFCD65 - IFCD65 - Front End Web Developer;
IFCD66 - IFCD66 - Data Scientist;
IFCD67 - IFCD67 - Cloud Deployer;
SSCE01 - SSCE01 - Anglès (A1);
SSCE02 - SSCE02 - Anglès (A2);
SSCE03 - SSCE03 - Anglès (B1);
SSCE04 - SSCE04 - Anglès (B2);
SSCE05 - SSCE05 - Anglès (C1);
SSCE06 - SSCE06 - Alemany A1;
SSCE12 - SSCE12 - Francès A1",
55836,"ACTIVIDADES FORMATIVAS EMPRESARIALES, SLU",B61420824,0804133002,pmontserrat@foment.com,934841232,Avinguda Francesc Cambó,BARCELONA,BARCELONA,08003,www.fomentformacio.com,0,N,N,"ADGD0108 - ADGD0108 - Gestió comptable i gestió administrativa per a auditoria;
ADGD0208 - ADGD0208 - Gestió integrada de recursos humans;
ADGD0210 - ADGD0210 - Creació i gestió de microempreses;
ADGD0308 - ADGD0308 - Activitats de gestió administrativa;
ADGG0108 - ADGG0108 - Assistència a la direcció;
ADGG0408 - ADGG0408 - Operacions auxiliars de serveis administratius i generals;
ADGN0108 - ADGN0108 - Finançament d'empreses;
ARGN0110 - ARGN0110 - Desenvolupament de productes editorials multimèdia;
COML0309 - COML0309 - Organització i gestió de magatzems;
COMM0110 - COMM0110 - Màrqueting i compravenda internacional;
COMM0112 - COMM0112 - Gestió de màrketing i comunicació;
COMT0411 - COMT0411 - Gestió comercial de vendes;
IFCD0110 - IFCD0110 - Confecció i publicació de pàgines web;
IFCD0210 - IFCD0210 - Desenvolupament d'aplicacions amb tecnologia web;
IFCM0110 - IFCM0110 - Operació en sistemes de comunicacions de veu i dades;
IFCT0109 - IFCT0109 - Seguretat dels sistemes d'informació;
SEAG0211 - SEAG0211 - Gestió ambiental;
SSCE0110 - SSCE0110 - Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional;
FCOO03 - FCOO03 - Inserció laboral, sensibilització mediambiental i en la igualtat de gènere;
FCOO08 - FCOO08 - Creació i gestió de la Marca Personal i Xarxes Socials a la Recerca d'Ocupació;
FCOS02 - FCOS02 - Bàsic de prevenció de riscos laborals;
FCOV05 - FCOV05 - Comunicació en llengües estrangeres (Anglès) N2;
FCOV06 - FCOV06 - Comunicació en llengües estrangeres (Anglès);
FCOV07 - FCOV07 - Comunicació en llengües estrangeres (francès) N2;
FCOV08 - FCOV08 - Comunicació en llengües estrangeres (Francés)N3;
FCOV09 - FCOV09 - Comunicació en llengües estrangeres (alemany) N2;
FCOV10 - FCOV10 - Comunicació en llengües estrangeres (Alemany) N3;
IFCD61 - IFCD61 - Android Mobile Developer;
IFCD62 - IFCD62 - Java Back End Web Developer;
IFCD63 - IFCD63 - Open Source Back End Web Developer;
IFCD64 - IFCD64 - Gestió de projectes d'implementació de CRM;
IFCD65 - IFCD65 - Front End Web Developer;
IFCD66 - IFCD66 - Data Scientist;
IFCD67 - IFCD67 - Cloud Deployer;
SSCE01 - SSCE01 - Anglès (A1);
SSCE02 - SSCE02 - Anglès (A2);
SSCE03 - SSCE03 - Anglès (B1);
SSCE04 - SSCE04 - Anglès (B2);
SSCE05 - SSCE05 - Anglès (C1);
SSCE06 - SSCE06 - Alemany A1;
SSCE12 - SSCE12 - Francès A1",
92522,AITES S.L.,B59352138,0804290004,SECRETARIA@AITES.NET,934237600,Carrer VIA AUGUSTA,BARCELONA,BARCELONA,08006,https://aites.net,0,N,N,"FCOO03 - FCOO03 - Inserció laboral, sensibilització mediambiental i en la igualtat de gènere;
FCOS02 - FCOS02 - Bàsic de prevenció de riscos laborals;
SEAD0112 - SEAD0112 - Vigilància, seguretat privada i protecció de persones;
SEAD0212 - SEAD0212 - Vigilància, seguretat privada i protecció d'explosius",
88633,AITES S.L.,B59352138,0804290003,SECRETARIA@AITES.NET,934237600,Passeig Olímpic,BARCELONA,BARCELONA,08028,https://aites.net,0,N,N,"SEAD0112 - SEAD0112 - Vigilància, seguretat privada i protecció de persones;
SEAD0212 - SEAD0212 - Vigilància, seguretat privada i protecció d'explosius",
88289,AITES S.L.,B59352138,0804290001,SECRETARIA@AITES.NET,934237600,Avinguda PARAL.LEL,BARCELONA,BARCELONA,08015,https://aites.net,4,N,N,"FCOO03 - FCOO03 - Inserció laboral, sensibilització mediambiental i en la igualtat de gènere;
FCOS02 - FCOS02 - Bàsic de prevenció de riscos laborals;
SEAD0112 - SEAD0112 - Vigilància, seguretat privada i protecció de persones;
SEAD0212 - SEAD0212 - Vigilància, seguretat privada i protecció d'explosius;
SSCS0208 - SSCS0208 - Atenció sociosanitària a persones dependents en institucions socials","24/FOAP/718/0190497/007 - Vigilància, seguretat privada i protecció de persones (290h);
24/FOAP/718/0190497/010 - Vigilància, seguretat privada i protecció de persones (290h);
24/FOAP/718/0190497/013 - Vigilància, seguretat privada i protecció de persones (290h);
24/FOAP/718/0190497/016 - Vigilància, seguretat privada i protecció d'explosius (310h)"
121710,AMADEUS FORMACIO SL,B19341106,0804671001,INFO@AMADEUSFORMACIO.COM,936 09 98 99,Avinguda JOSEP TARRADELLAS,BARCELONA,BARCELONA,08029,,0,N,N,"SEAD0004 - SEAD0004 - Control d'accessos;
SEAD0219 - SEAD0219 - Tècniques de prevenció i extinció d'incendis;
SSCE01 - SSCE01 - Anglès (A1);
SSCE02 - SSCE02 - Anglès (A2);
SSCE03 - SSCE03 - Anglès (B1);
SSCE04 - SSCE04 - Anglès (B2);
SSCE05 - SSCE05 - Anglès (C1);
SSCE06 - SSCE06 - Alemany A1;
SSCE09 - SSCE09 - Alemany B2;
SSCE10 - SSCE10 - Alemany C1;
SSCE12 - SSCE12 - Francès A1;
SSCE13 - SSCE13 - Francès A2;
SSCE14 - SSCE14 - Francès B1;
SSCE15 - SSCE15 - Francès B2",
